group,,asymptomatic,asymptomatic,asymptomatic,asymptomatic,asymptomatic,symptomatic,symptomatic,symptomatic,symptomatic,symptomatic
statistic,,median,mean,std,min,max,median,mean,std,min,max
feature modality,feature name,,,,,,,,,,
App feature,Duration opened all apps minutes,118.16999999999999,147.28574074074075,112.43313631028741,2.73,452.54,135.95,166.1965137614679,128.37312940233411,4.98,689.18
App feature,Duration opened all apps minutes at night,1.5,6.867222222222222,14.988699097088212,0.0,88.09,2.78,8.914770642201836,15.93321650331007,0.0,88.4
App feature,Duration opened camera apps minutes,0.365,0.6903703703703704,1.0772281198945055,0.0,7.46,0.44,0.7025688073394495,0.8437860046306771,0.0,4.51
App feature,Duration opened clock apps minutes,0.11,0.7146296296296297,1.7453470457596438,0.0,12.23,0.12,0.6082568807339449,1.323800536080575,0.0,8.27
App feature,Duration opened communication apps minutes,25.805,39.009166666666665,35.45276120232611,0.09,197.84,32.35,44.353853211009174,39.95003534296533,1.67,205.22
App feature,Duration opened entertainment apps minutes,0.0,4.0969444444444445,14.838447185450013,0.0,126.43,0.0,3.6342201834862387,14.420928354920042,0.0,95.35
App feature,Duration opened health fitness apps minutes,0.035,0.7758333333333334,1.841387695424245,0.0,10.4,0.01,0.9175229357798166,3.573019305221791,0.0,34.9
App feature,Duration opened news magazines apps minutes,1.46,7.997037037037036,13.788647183056153,0.0,75.47,0.63,7.179724770642202,16.63757491335866,0.0,137.53
App feature,Duration opened social media apps minutes,3.285,21.974814814814817,37.882227788349205,0.0,233.73,8.88,24.837339449541282,44.821362789415204,0.0,275.74
App feature,Mean duration opened communication apps minutes,1.025,1.2333333333333332,0.9654614895740108,0.17,7.87,1.14,1.288440366972477,0.7789441741893751,0.14,4.28
App feature,Mean duration opened entertainment apps minutes,2.085,4.868333333333333,7.1390313676243595,0.02,42.68,1.2650000000000001,3.2424,5.286676190467612,0.05,30.93
App feature,Mean duration opened health fitness apps minutes,0.43,0.7161764705882353,0.7575077545768584,0.03,4.2,0.44,0.7077049180327869,0.9599867940803889,0.03,5.68
