features,model,strategy,C,l1_ratio,penalty,solver,max_depth,max_features,min_samples_leaf,n_estimators
all,dummy,uniform,,,,,,,,
all,dummy,uniform,,,,,,,,
all,dummy,uniform,,,,,,,,
all,dummy,uniform,,,,,,,,
all,dummy,uniform,,,,,,,,
demo,dummy,uniform,,,,,,,,
demo,dummy,uniform,,,,,,,,
demo,dummy,uniform,,,,,,,,
demo,dummy,uniform,,,,,,,,
demo,dummy,uniform,,,,,,,,
dpd,dummy,uniform,,,,,,,,
dpd,dummy,uniform,,,,,,,,
dpd,dummy,uniform,,,,,,,,
dpd,dummy,uniform,,,,,,,,
dpd,dummy,uniform,,,,,,,,
all,lr,,3.981071705534969,0.01,elasticnet,saga,,,,
all,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
all,lr,,0.25118864315095796,0.01,elasticnet,saga,,,,
all,lr,,63.0957344480193,0.01,elasticnet,saga,,,,
all,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
demo,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
demo,lr,,0.25118864315095796,0.21000000000000002,elasticnet,saga,,,,
demo,lr,,0.25118864315095796,0.81,elasticnet,saga,,,,
demo,lr,,0.25118864315095796,0.11,elasticnet,saga,,,,
demo,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
dpd,lr,,0.25118864315095796,0.01,elasticnet,saga,,,,
dpd,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
dpd,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
dpd,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
dpd,lr,,0.015848931924611134,0.01,elasticnet,saga,,,,
all,rf,,,,,,5.0,sqrt,15.0,300.0
all,rf,,,,,,5.0,sqrt,15.0,500.0
all,rf,,,,,,5.0,sqrt,20.0,400.0
all,rf,,,,,,5.0,sqrt,10.0,400.0
all,rf,,,,,,5.0,sqrt,15.0,100.0
demo,rf,,,,,,5.0,sqrt,15.0,100.0
demo,rf,,,,,,5.0,sqrt,10.0,300.0
demo,rf,,,,,,5.0,sqrt,15.0,400.0
demo,rf,,,,,,5.0,sqrt,5.0,100.0
demo,rf,,,,,,5.0,sqrt,10.0,500.0
dpd,rf,,,,,,5.0,sqrt,20.0,100.0
dpd,rf,,,,,,15.0,sqrt,5.0,400.0
dpd,rf,,,,,,5.0,sqrt,15.0,400.0
dpd,rf,,,,,,5.0,sqrt,10.0,100.0
dpd,rf,,,,,,10.0,sqrt,5.0,200.0
